Chapter,Character,N,A,I,C,DC,DN,Score
25,The Gardiners,0,0,0,0,0,1,1
25,The Lucases,2,0,0,0,1,1,4
25,Wickham,4,0,0,0,0,4,8
25,char_28,0,0,0,0,0,0,0
25,char_30,0,0,0,0,0,0,0
25,char_33,0,0,0,0,0,0,0
25,char_35,0,0,0,0,0,0,0
25,char_38,0,0,0,0,0,0,0
25,char_42,0,0,0,0,0,0,0
25,char_53,0,0,0,0,0,0,0
25,char_56,0,1,0,0,0,0,1
25,char_70,0,1,0,0,0,0,1
25,char_80,0,0,0,0,0,0,0
25,char_81,0,0,0,0,0,0,0
25,char_82,0,0,1,0,0,0,1
25,char_84,0,0,0,0,0,0,0
25,char_88,0,0,0,0,0,0,0
25,char_89,0,1,0,0,0,0,1
25,char_91,0,0,1,0,0,0,1
25,char_96,0,0,1,0,0,0,1
25,the Bingleys,0,0,0,0,0,1,1
25,the Philipses,0,0,0,0,0,1,1
26,Caroline,4,1,0,0,3,1,9
26,Charlotte,5,1,6,7,0,5,24
26,Elizabeth,21,2,17,6,3,16,65
26,Hunsford,0,0,0,0,0,1,1
26,Jane,7,2,21,5,0,7,42
26,Lady Catherine,3,0,1,0,1,2,7
26,Longbourn,0,0,0,0,0,1,1
26,Lydia,0,0,0,0,1,0,1
26,Maria,2,0,0,0,2,0,4
26,Miss Bingley,4,0,0,0,1,2,7
26,Miss Darcy,2,0,0,0,2,0,4
26,Miss King,1,0,0,0,1,0,2
26,Miss Lucas,1,2,0,0,0,1,4
26,Mr. Bingley,1,0,0,0,0,1,2
26,Mr. Collins,2,2,0,0,0,2,6
26,Mr. Darcy,3,0,0,0,2,1,6
26,Mr. Wickham,4,1,0,0,2,1,8
26,Mrs. Bennet,1,0,1,1,0,1,4
26,Mrs. Gardiner,3,1,9,4,0,3,20
26,Mrs. Hurst,0,0,0,0,1,0,1
26,Rosings,0,0,0,0,0,1,1
26,Sir William,0,0,0,0,1,0,1
26,_,0,0,0,0,1,0,1
26,char_101,0,0,0,0,0,0,0
26,char_105,0,0,0,0,0,0,0
26,char_106,0,0,0,0,0,0,0
26,char_32,0,0,0,0,0,0,0
26,char_36,0,2,0,0,0,0,2
26,char_42,0,0,0,0,0,0,0
26,char_50,0,0,0,0,0,0,0
26,char_59,0,0,0,1,0,0,1
26,char_60,0,0,1,0,0,0,1
26,char_68,0,0,0,0,0,0,0
26,char_71,0,0,1,0,0,0,1
26,char_73,0,0,2,0,0,0,2
26,char_75,0,0,0,0,0,0,0
26,char_83,0,0,0,0,0,0,0
26,char_91,0,0,1,0,0,0,1
26,char_92,0,0,0,0,0,0,0
26,char_95,0,0,1,0,0,0,1
26,char_97,0,0,1,0,0,0,1
26,char_98,0,1,0,0,0,0,1
26,the Bingleys,0,0,0,0,0,1,1
26,the Gardiners,0,0,0,0,0,1,1
26,the Lucases,0,0,0,0,0,1,1
27,Absence,0,0,0,0,0,1,1
27,Charlotte,3,1,3,0,0,3,10
27,Elizabeth,10,2,7,3,3,7,32
27,February,0,0,0,0,0,1,1
27,Jane,4,0,0,0,0,4,8
27,Lady Catherine de Bourgh,0,0,0,0,0,1,1
27,Maria,0,0,0,0,0,1,1
27,Miss Bingley,0,0,0,0,0,1,1
27,Miss King,2,0,0,0,2,0,4
27,Mr. Collins,0,0,0,0,0,1,1
27,Mr. Gardiner,0,0,0,0,0,1,1
27,Mr. Wickham,2,0,0,0,0,2,4
27,Mrs. Gardiner,3,0,3,14,0,3,23
27,Sir William,3,0,1,0,0,3,7
27,char_26,0,0,1,0,0,0,1
27,char_27,0,0,0,0,0,0,0
27,char_33,0,2,0,0,0,0,2
27,char_35,0,0,1,0,0,0,1
27,char_42,0,0,0,0,0,0,0
27,char_43,0,0,0,0,0,0,0
27,char_46,0,0,0,0,0,0,0
27,char_47,0,1,4,0,0,0,5
27,char_48,0,0,0,2,0,0,2
27,char_51,0,0,0,0,0,0,0
27,char_54,0,0,2,0,0,0,2
27,char_55,0,0,0,0,0,0,0
27,char_58,0,0,0,0,0,0,0
27,char_67,0,0,0,0,0,0,0
27,char_69,0,0,0,0,0,0,0
27,char_73,0,0,0,0,0,0,0
28,Charlotte,14,4,0,2,3,11,34
28,Elizabeth,14,2,12,5,2,12,47
28,Hertfordshire,0,0,0,0,0,1,1
28,Lady Catherine,5,0,1,0,4,1,11
28,Maria,4,0,0,4,1,3,12
28,Miss De Bourgh,3,2,2,0,2,1,10
28,Mr. Collins,9,5,3,2,0,9,28
28,Mrs. Collins,1,0,1,0,0,1,3
28,Mrs. Jenkinson,0,0,0,0,1,0,1
28,Sir William,2,1,0,0,0,2,5
28,char_13,0,0,1,0,0,0,1
28,char_14,0,2,0,0,0,0,2
28,char_25,0,0,0,0,0,0,0
