Chapter,Character,N,A,I,C,DC,DN,Score
18,Charlotte Lucas,4,0,0,2,0,4,10
18,Sir William,4,0,1,1,2,2,10
18,Lady Catherine,5,0,0,0,4,0,9
18,Lady Lucas,4,0,1,0,0,4,9
18,George Wickham,5,0,1,0,1,1,8
18,Lydia,3,0,0,1,0,3,7
18,Mr. Bennet,2,0,1,0,0,2,5
18,Miss Lucas,2,0,0,0,0,2,4
18,Mrs. Hurst,2,0,0,0,0,2,4
18,Hunsford,0,0,0,0,1,0,1
18,Lord,0,0,0,0,1,0,1
18,Miss Bennet,0,0,0,0,1,0,1
18,Miss De Bourgh,0,0,0,0,1,0,1
18,Mr. Darcy;--but,0,0,0,0,1,0,1
18,Mr. Denny,0,0,0,0,0,1,1
18,the Bingleys,0,0,0,0,0,1,1
19,Mr. Collins,11,4,13,9,4,6,47
19,Elizabeth,14,2,4,8,3,9,40
19,Kitty,5,1,2,0,4,1,13
19,Mrs. Bennet,3,1,0,0,0,3,7
19,Miss De Bourgh,2,0,0,0,2,0,4
19,Dear ma’am,1,1,0,0,1,0,3
19,Mrs. Jenkinson,0,0,0,0,1,0,1
20,Lizzy,19,4,3,2,8,9,45
20,Mrs. Bennet,10,5,4,15,0,9,43
20,Mr. Collins,16,1,6,5,8,6,42
20,Mr. Bennet,5,3,0,5,3,1,17
20,Charlotte,4,1,3,2,0,4,14
20,Jane,4,1,0,0,0,4,9
20,Lydia,2,1,0,1,0,2,6
20,Kitty,2,1,0,0,0,2,5
20,Miss Lucas,2,0,0,0,1,1,4
21,Jane,13,5,12,14,0,10,54
21,Elizabeth,9,1,20,11,1,8,50
21,Miss Bingley,6,1,8,0,5,0,20
21,Caroline,6,1,3,0,4,2,16
21,Mr. Collins,2,0,3,2,0,2,9
21,Wickham,3,1,0,0,0,3,7
21,Charles,2,2,0,0,2,0,6
21,Mr. Bingley,3,0,0,0,1,2,6
21,Miss Darcy,3,0,0,0,2,0,5
21,Mrs. Bennet,2,0,1,0,0,2,5
21,Mr. Darcy,2,0,0,0,2,0,4
21,Georgiana Darcy,1,0,1,0,1,0,3
21,Miss Lucas,1,0,0,0,0,1,2
21,Louisa,0,0,0,0,1,0,1
21,Miss Bennet,0,0,0,0,0,1,1
21,Miss de Bourgh,0,0,0,0,1,0,1
21,Mr. Darcy;--that,0,0,0,0,1,0,1
21,Mr. Hurst,0,0,0,0,0,1,1
21,_,0,0,0,0,0,1,1
22,Mr. Collins,15,4,5,4,3,11,42
22,Elizabeth,11,0,9,5,1,9,35
22,Charlotte,11,0,5,2,1,10,29
22,Miss Lucas,6,0,2,0,0,6,14
22,Mrs. Bennet,2,0,3,1,0,2,8
22,Lady Lucas,2,0,0,0,0,2,4
22,Mr. Bennet,2,0,0,0,0,2,4
22,Sir William,2,0,0,0,0,2,4
22,Lady Catherine,1,0,0,0,1,0,2
22,Lucas Lodge,0,0,0,0,0,1,1
22,Mary,0,0,0,0,0,1,1
22,The Bennets,0,0,0,0,0,1,1
22,Wednesday,0,0,0,0,0,1,1
22,the Lucases,0,0,0,0,0,1,1
23,Elizabeth,12,1,4,0,1,11,29
23,Charlotte,7,1,4,8,0,6,26
23,Mr. Collins,9,4,3,0,2,7,25
23,Mrs. Bennet,9,1,4,0,0,9,23
23,Jane,8,0,4,0,0,8,20
23,Sir William,6,0,3,0,1,5,15
23,Mr. Bennet,5,0,1,1,2,3,12
23,Bingley,4,1,0,0,0,4,9
23,Miss Lucas,3,0,0,0,0,3,6
23,Kitty,2,0,1,0,0,2,5
23,Lydia,2,0,0,1,0,2,5
23,Lady Lucas,2,0,0,0,0,2,4
23,Caroline,0,0,0,0,0,1,1
23,Good Lord,0,0,0,0,1,0,1
23,Miss Darcy,0,0,0,0,0,1,1
24,Elizabeth,12,0,17,11,3,9,52
24,Jane,13,0,13,12,4,9,51
24,Mr. Bingley,4,1,2,0,1,3,11
24,Mr. Bennet,2,0,2,4,0,2,10
24,Caroline,2,0,5,0,0,2,9
24,Charlotte,4,0,1,0,3,0,8
24,Mr. Darcy,4,0,0,0,0,4,8
24,Miss Darcy,3,0,0,0,1,2,6
24,Mrs. Bennet,3,0,0,0,0,3,6
24,Miss Bennet,2,0,0,1,0,2,5
24,Wickham,2,0,1,0,1,1,5
24,Mr. Collins,2,0,0,0,2,0,4
24,Miss Bingley,1,0,0,0,0,1,2
24,God,0,0,0,0,1,0,1
24,Netherfield,0,0,0,0,0,1,1
25,Mrs. Gardiner,7,1,8,9,0,7,32
25,Elizabeth,9,1,7,3,2,7,29
25,Jane,9,0,0,0,6,3,18
25,Mr. Darcy,6,0,3,0,1,4,14
25,Mr. Bingley,5,0,3,0,4,1,13
25,Mrs. Bennet,4,0,1,2,0,4,11
25,Wickham,4,0,0,0,0,4,8
25,Mr. Collins,2,0,0,0,1,1,4
25,Pemberley,2,0,0,0,0,2,4
25,The Lucases,2,0,0,0,1,1,4
25,Caroline,1,0,0,0,0,1,2
25,Miss Bennet,1,0,0,0,0,1,2
25,Mr. Gardiner,1,0,0,0,0,1,2
25,Lady Lucas,0,0,0,0,1,0,1
25,Mrs. Philips,0,0,0,0,0,1,1
