COREF,n_mentions,n_prop,n_pron,n_nom,top_text
610,1,1,0,0,Helicaon
530,1,1,0,0,Olenus
612,1,1,0,0,Aethrae
632,1,1,0,0,Caria
531,1,1,0,0,Pylene
534,1,1,0,0,Miletus
627,1,1,0,0,Fandarus
539,1,1,0,0,Pheidippus
541,1,1,0,0,King Thessalus
542,1,1,0,0,Selepus
543,1,1,0,0,Iton
549,1,1,0,0,Alcestis
620,1,1,0,0,Castor
550,1,1,0,0,Pelias
551,1,1,0,0,Methone
617,1,1,0,0,Thymoetes
554,1,1,0,0,Rhene
615,1,1,0,0,Ucalegon
614,1,1,0,0,Clymene
613,1,1,0,0,Pittheus
703,1,1,0,0,Anchialus
704,1,1,0,0,Selagus
706,1,1,0,0,Coeranus
796,1,1,0,0,Hail
17,1,1,0,0,Troy
789,1,1,0,0,Creion
174,1,1,0,0,Typhoeus
189,1,1,0,0,Axius
785,1,1,0,0,BOOK IX
784,1,1,0,0,bold hussy
2,1,1,0,0,Olympus
781,1,1,0,0,Gorgo
219,1,1,0,0,Aesopus
779,1,1,0,0,Aesyme
778,1,1,0,0,fair Castianeira
777,1,1,0,0,Gorgythion
235,1,1,0,0,Trojan
775,1,1,0,0,Daetor
772,1,1,0,0,Ninth
771,1,1,0,0,Phradmon
770,1,1,0,0,Aegae
145,1,1,0,0,yellow Ceres
798,1,1,0,0,awful Proserpine
237,1,1,0,0,Pergamus
799,1,1,0,0,the Dolopians
819,1,1,0,0,Hippocoon
817,1,1,0,0,the Phrygians
815,1,1,0,0,Eumedes
814,1,1,0,0,the Cadmeians
1087,1,1,0,0,Pammon
811,1,1,0,0,Autolycus
1088,1,1,0,0,Antiphonus
1089,1,1,0,0,Dius
808,1,1,0,0,BOOK X. Ulysses
1090,1,1,0,0,Polyctor
806,1,1,0,0,Phorbas
805,1,1,0,0,Cleopatra
804,1,1,0,0,Alcyone
1092,1,1,0,0,O Trojans
802,1,1,0,0,Euenus
142,1,1,0,0,Lyrnessus
144,1,1,0,0,Pyrasus
768,1,1,0,0,Aethon
243,1,1,0,0,Titans
707,1,1,0,0,Alcandrus
734,1,1,0,0,Elatus
473,1,1,0,0,the Sintians
475,1,1,0,0,Lying Dream
730,1,1,0,0,Astyalus
4776,1,1,0,0,"First Adrestus , Autonous , Echeclus , Perimus the son of Megas , Epistor and Melanippus"
728,1,1,0,0,Abarbarea
726,1,1,0,0,Aesepus
725,1,1,0,0,Dresus
724,1,1,0,0,Calesius
723,1,1,0,0,Teuthranus
722,1,1,0,0,Axylus
721,1,1,0,0,Eussorus
479,1,1,0,0,Thyestes
485,1,1,0,0,Thersites
718,1,1,0,0,Sir
717,1,1,0,0,Ochesius
710,1,1,0,0,Teuthras
708,1,1,0,0,Halius
733,1,1,0,0,Ablerus
735,1,1,0,0,Melanthus
764,1,1,0,0,Morning
470,1,1,0,0,pages
763,1,1,0,0,Pale
263,1,1,0,0,Gargarus
761,1,1,0,0,Noble Ajax
760,1,1,0,0,Tychius
759,1,1,0,0,Iardanus
267,1,1,0,0,Lemnos
424,1,1,0,0,HOMER
425,1,1,0,0,Samuel Butler
755,1,1,0,0,Dexius
753,1,1,0,0,Phylomedusa
455,1,1,0,0,Exadius
748,1,1,0,0,Cisseus
456,1,1,0,0,Theseus
457,1,1,0,0,Aegeus
745,1,1,0,0,the Solymi
740,1,1,0,0,Aeolus
469,1,1,0,0,Briareus
790,1,1,0,0,Lesbians
