character,degree,betweenness,closeness,eigenvector,pagerank,frequency
Appiani,9,0.0,0.27835833557904405,0.09678763559490343,0.001613489246002183,1
Emilie Galotti,9,0.0,0.27835833557904405,0.09678763559490343,0.001613489246002183,2
Marinelli,9,0.0,0.27835833557904405,0.09678763559490343,0.0017230652734389787,4
Odoardo,9,0.0,0.27835833557904405,0.09678763559490343,0.001613489246002183,1
Racine,9,0.0065106565308569175,0.2731484202072438,0.03972345704805492,0.0028850525994818404,14
Goliath,9,0.001925809342689144,0.27242002442002444,0.048244710426149175,0.004100678811888767,8
Polonius,9,0.0003310288014554335,0.2285402889429735,0.08216905417848798,0.002386973190023273,10
Narciss,8,0.002456452215310866,0.27388072160190124,0.06912616878127152,0.0062452168073825285,192
Devil,8,0.00040151736984316174,0.276849618313033,0.077182864638777,0.002032298977808228,4
Barbara,8,4.705942205942207e-05,0.276849618313033,0.09252256243410215,0.007950181162552273,179
Ophelia,8,0.0002531826060706235,0.2776019270584488,0.08750415411484545,0.0034017447138692284,29
Rosa N. Carey,7,0.0014813617754794225,0.026373626373626374,9.614559526291612e-13,0.012756948817998482,15
Samuel,7,0.0016146024640726901,0.27025796073415126,0.04434692197373051,0.0023660035276105696,4
Old Boisterous,7,3.07815433865854e-05,0.2776019270584488,0.0841729940677486,0.0021827894906885394,6
the _ Stallmeister _,7,6.65116473940003e-05,0.2746169601008311,0.08318905774051787,0.001748994367377995,8
Jonathan,7,0.0016146024640726901,0.27025796073415126,0.04434692197373051,0.0027157826821799743,13
Goethe,6,0.009627879228315575,0.2695448790435598,0.042466080275573546,0.0025786727957896865,27
the Spirit,6,2.2873368461603757e-05,0.2709748253514832,0.06118683878468496,0.001324307416613465,2
the Shades,6,0.0,0.2776019270584488,0.08272845093639501,0.001167234486358667,1
Landrinette,6,0.002149178836030048,0.27242002442002444,0.06435658916076059,0.0018939892143985944,10
Jessie Fothergill,6,0.004471019176901529,0.1923870228954975,0.013031724377227064,0.002105689085859065,3
HORATIO ALGER,6,0.01772247360482655,0.19202539315321274,0.0014099594583650101,0.006985587461762336,7
Jack,6,0.004825633506671138,0.27535716754045597,0.044179072045727664,0.002395381333872418,5
Philo,6,0.00013018027723910077,0.26742803444374125,0.03414562673005548,0.0031051747245230605,64
Each,6,4.6644531938649584e-05,0.2746169601008311,0.0691758328112816,0.0015646540440125696,14
Wieland,5,1.9238464616615876e-05,0.2746169601008311,0.057267093201601615,0.001233329329151861,3
Kotzebue,5,0.0,0.19683527776013326,0.00794133925318695,0.002049722339926016,2
Klopstock,5,0.0,0.19683527776013326,0.00794133925318695,0.002049722339926016,2
Kit,5,0.021816418875242403,0.27535716754045597,0.03921017823564366,0.0028222564456190746,2
Dis,5,0.0,0.27025796073415126,0.05820952096019551,0.0010642428164772282,2
Schiller,5,0.0,0.19683527776013326,0.00794133925318695,0.002049722339926016,2
the French,5,0.0,0.19683527776013326,0.00794133925318695,0.002049722339926016,1
Father,5,4.758313581842993e-05,0.27535716754045597,0.06202300469471973,0.001222794630998338,2
"Serlo,--an",5,0.0,0.2746169601008311,0.06946152469457,0.0010681790208513092,1
Tancred,5,9.811616954474095e-05,0.26742803444374125,0.03075531643908737,0.0022197650447908323,11
Lydia,5,2.6933850463262224e-05,0.2695448790435598,0.04927638461641666,0.006016545299758506,118
Norberg,5,0.0,0.2695448790435598,0.06055716713592453,0.0029293690731470885,62
Jew,4,0.0,0.27388072160190124,0.053031650062264395,0.0009805445191443714,1
Corneille,4,0.0,0.2688355504144978,0.03384837801099073,0.001302496580017078,1
Minerva,4,0.004493464052287581,0.2667297889230004,0.031235810124858678,0.0020469585255902555,6
young Fortinbras,4,0.0,0.2178198489499129,0.03984197016611109,0.001003853567060216,4
Louis Fourteenth,4,0.0,0.2688355504144978,0.03384837801099073,0.001302496580017078,1
Providence,4,0.0,0.2192221226555991,0.04304671289353074,0.0010756537840827226,3
Phyllis,4,0.02601809954751131,0.27242002442002444,0.023993109181379393,0.0032283409716231965,6
Clorinda,4,2.6933850463262227e-05,0.26534417962989393,0.027006441513465023,0.0019492983422625338,4
JENNY JUNE,4,0.0008080155138978668,0.01883830455259027,2.873019784792267e-13,0.0077162927725077735,14
R. D. Blackmore,4,0.01330532212885154,0.19275001727831917,0.0022902209740893217,0.004429549431022172,5
Schlegel,4,0.0,0.27242002442002444,0.04833936582799258,0.0010300216602843427,3
Guildenstern,3,0.0,0.27025796073415126,0.03718655666666672,0.0010573920687150713,1
the Herrnhut Community,3,3.6809595633125036e-05,0.26742803444374125,0.03336204374430554,0.0009957077290741274,2
the Herrnhuter Community,3,0.0,0.26465675947541234,0.0258211563416086,0.0011065978474519922,1
Count Zinzendorf,3,0.0,0.26465675947541234,0.0258211563416086,0.0011065978474519922,1
Bathsheba,3,0.0,0.2660351800976801,0.028455089449417114,0.0009158175562235375,1
Orsina,3,0.0,0.2709748253514832,0.0487429773027245,0.000853064215500622,1
Bravo,3,0.0,0.26812994529529965,0.04381613787566695,0.0008525496266175321,2
Rosencrantz,3,0.0,0.27025796073415126,0.03718655666666672,0.0010573920687150713,1
Tom Jones,3,0.0,0.01098901098901099,1.4628559952874866e-12,0.00364963503649635,2
