novel,graph_type,n_nodes,n_edges,density,degree_mean,degree_std,degree_max,degree_gini,degree_centralization,assortativity,clustering_avg,transitivity,avg_path_length,n_components,largest_component_frac,delta_max,delta_mean,delta_median,small_world_sigma,powerlaw_alpha,powerlaw_xmin
Bébée,cooccurrence,130,284,0.03387000596302922,4.369230769230769,7.936418938169164,78,0.5896803900325027,0.5796996124031008,-0.2834417277084291,0.5430370495097747,0.19778261730350424,2.3626373626373627,19,0.8076923076923077,1.0,0.058,0.0,3.9331852806978094,1.9393058195122093,1.0
Bébée,dialogue,17,25,0.18382352941176472,2.9411764705882355,2.7326046233733963,13,0.3788235294117648,0.7125,-0.44378063725490197,0.3883861236802413,0.24107142857142858,2.1323529411764706,1,1.0,1.0,0.073,0.0,2.8310826996862715,1.769794174705737,1.0
Can_You_Forgive_Her,cooccurrence,470,1669,0.015143129338111872,7.102127659574468,17.448471119534656,211,0.6464439146896472,0.4366081679514515,-0.38891775740590473,0.6916609690033673,0.13313348831518415,2.558100777726946,37,0.9127659574468086,1.0,0.1325,0.0,4.346443995121729,1.9310694721599304,1.0
Can_You_Forgive_Her,dialogue,78,205,0.06826506826506827,5.256410256410256,6.051988224766744,27,0.5180737961225768,0.2898154477101845,-0.29541371410169137,0.5789948748749326,0.2790091264667536,2.6916416916416916,1,1.0,1.0,0.1465,0.0,3.3663790242898997,1.8507149977079445,1.0
Daniel_Deronda,cooccurrence,588,2322,0.013454785662135382,7.8979591836734695,18.459639626894038,245,0.6278066351432907,0.4053002773400934,-0.29546637822665983,0.7038208568554233,0.14328743545611017,2.5546641077625702,47,0.8962585034013606,0.5,0.1215,0.0,5.058249381186496,1.9422271630154204,1.0
Daniel_Deronda,dialogue,107,263,0.046376300476106504,4.91588785046729,6.8796347101013895,47,0.5233289506414129,0.4045822102425876,-0.309742544716712,0.5421797463939215,0.20634475014037057,2.6365720331511198,1,1.0,1.0,0.1305,0.0,3.4891105336189825,1.7217525208113555,1.0
Deerbrook,cooccurrence,235,1539,0.05597381342062193,13.097872340425532,20.536915276888248,131,0.6604177899437325,0.5081801841458494,-0.38644568033401683,0.6724131758973991,0.3765841351795353,2.206791426293326,26,0.8808510638297873,1.0,0.134,0.0,2.8624805210966304,1.4123183445616092,1.0
Deerbrook,dialogue,47,179,0.16558741905642924,7.617021276595745,7.009274073832503,30,0.47153215262094395,0.5082125603864734,-0.300116452258992,0.566734733188206,0.41299700726806327,2.122109158186864,1,1.0,1.0,0.1785,0.0,2.227937439388413,1.4305843769015332,1.0
Dombey_and_Son,cooccurrence,466,2093,0.01931791960865753,8.982832618025752,18.234633289532937,198,0.6719475709959011,0.4082406377456433,-0.29938099888206193,0.6285185010710548,0.2046272602754271,2.5858549550138337,35,0.9206008583690987,0.5,0.147,0.0,4.179529218222406,1.8371188355430508,1.0
Dombey_and_Son,dialogue,92,291,0.06951743908265648,6.326086956521739,7.587330251166391,41,0.5356342447333033,0.3894993894993895,-0.24461218814816219,0.5379592931753173,0.29728442115292997,2.509555661729575,1,1.0,1.0,0.1525,0.0,2.9609423695160473,1.7833537513656288,1.0
East_Lynne,cooccurrence,303,1498,0.032741022446615524,9.887788778877887,18.08927118692728,162,0.6590900077991779,0.5070295483047678,-0.35288828346368917,0.6632316800946714,0.25087457066530977,2.4273129945752254,19,0.9372937293729373,1.0,0.1435,0.0,3.3001976691691337,1.7488756960730274,1.0
East_Lynne,dialogue,77,241,0.082365003417635,6.259740259740259,7.74999387918082,48,0.5272403944603117,0.5638596491228071,-0.3088103599166677,0.5408052680312648,0.2798882681564246,2.3485987696514012,1,1.0,1.0,0.144,0.0,2.656594336201329,1.7475345802540756,1.0
Emma,cooccurrence,322,1917,0.03709293550821385,11.906832298136646,22.085042081791123,203,0.6447914540382391,0.5990264797507788,-0.406265401513812,0.8175332932258039,0.2670964238304035,2.257802899975424,9,0.9720496894409938,0.5,0.149,0.0,3.4447289116815423,1.6380093448730695,1.0
Emma,dialogue,45,113,0.11414141414141414,5.022222222222222,6.298108671617709,32,0.5347099311701082,0.6416490486257929,-0.4848129853504194,0.5487790872573481,0.3585746102449889,2.1575757575757577,1,1.0,1.0,0.0945,0.0,2.6777361089312537,1.7003466242143188,1.0
Esther_Waters,cooccurrence,240,968,0.03375174337517434,8.066666666666666,14.237996894070301,142,0.601373106060606,0.5650996800393797,-0.28703008253861295,0.6611208387659268,0.21955914910000962,2.319551117938215,24,0.9041666666666667,0.5,0.1175,0.0,4.113978574319001,1.6995839830917907,1.0
Esther_Waters,dialogue,58,127,0.07683000604960677,4.379310344827586,6.577987288354627,40,0.5194135215856639,0.6472431077694235,-0.44795565298478324,0.5516201524961258,0.1834916864608076,2.278886872353297,1,1.0,0.5,0.0915,0.0,4.980815708638189,1.8668251383327112,1.0
Guy_Mannering,cooccurrence,649,2785,0.013244497707774545,8.582434514637905,15.731757589240821,128,0.6575939229805279,0.18485603068292403,-0.16970662322898988,0.6334233224930155,0.3170753349699784,2.8093598262202915,79,0.8628659476117103,1.0,0.1365,0.0,5.512025761451616,1.7644348032783637,1.0
Guy_Mannering,dialogue,99,225,0.04638218923933209,4.545454545454546,5.705345229460511,30,0.5168125701459034,0.2650957290132548,-0.166363884501282,0.43613955740923505,0.24533001245330013,2.9231086373943516,1,1.0,1.0,0.169,0.0,2.8877681378886475,1.9326606046560764,1.0
Hard_Cash,cooccurrence,746,2698,0.009709052305809958,7.233243967828418,17.925501759707107,285,0.6538708049056297,0.37384354477881215,-0.24876069079246174,0.6360413647757303,0.14665144763702614,2.7022629881072753,82,0.8646112600536193,1.0,0.1235,0.0,5.283516285916904,2.004006368258905,1.0
Hard_Cash,dialogue,114,307,0.047663406303369044,5.385964912280702,7.889042780893564,62,0.5375450025715756,0.5099557522123894,-0.3017054427815922,0.5472804511472896,0.21025745811197386,2.5483620555814315,1,1.0,1.0,0.108,0.0,3.6600735851349624,1.9274995883837742,1.0
Hard_Times,cooccurrence,179,462,0.029000062770698637,5.162011173184357,9.62721400959111,78,0.6301603424508453,0.41382593791658734,-0.36702534534296016,0.5442222385443325,0.20434527304756311,2.5408368942997663,19,0.88268156424581,1.0,0.1255,0.0,4.194254819747122,1.9895978087062676,1.0
Hard_Times,dialogue,21,62,0.29523809523809524,5.904761904761905,4.0930226565608185,16,0.3732718894009217,0.5578947368421052,-0.3531271689673781,0.5897031539888683,0.48125,1.8047619047619048,1,1.0,1.0,0.1655,0.0,2.2987433953706136,1.069569247187423,1.0
Jack_Sheppard,cooccurrence,373,1256,0.01810372164086598,6.734584450402145,14.653891124729126,162,0.623377759942624,0.4196301770860505,-0.3013177377320337,0.6303617918458411,0.15612367992211806,2.561597525669382,33,0.8954423592493298,1.0,0.1275,0.0,,1.9788846811903285,1.0
Jack_Sheppard,dialogue,77,202,0.06903622693096377,5.246753246753247,6.969610926843792,41,0.5388324546740388,0.4829824561403509,-0.35158171166553753,0.5404793264682979,0.2540322580645161,2.4135338345864663,1,1.0,1.0,0.137,0.0,3.7478747816015923,1.7383802004938051,1.0
Jude_the_Obscure,cooccurrence,247,559,0.018399657680787333,4.526315789473684,10.62758974342386,131,0.5754926741651156,0.5183175709308113,-0.3037827223169576,0.606868311142849,0.13379396984924624,2.3427011036522924,34,0.7611336032388664,0.5,0.0795,0.0,5.891059334339083,2.056910709208842,1.0
Jude_the_Obscure,dialogue,23,43,0.16996047430830039,3.739130434782609,3.858557866492833,15,0.4641051567239636,0.5606060606060606,-0.584007187780773,0.5515194949977559,0.31141868512110726,2.039525691699605,1,1.0,1.0,0.124,0.0,3.917696624481864,1.8015521192220814,1.0
Lady_Audley's_Secret,cooccurrence,262,724,0.021175163054605012,5.526717557251908,12.019277292339575,152,0.6111193117118638,0.5655172413793104,-0.28070847674556726,0.648173481474046,0.15309431582740293,2.4058997050147495,28,0.8625954198473282,0.5,0.0935,0.0,5.041261954156742,2.01706322213313,1.0
Lady_Audley's_Secret,dialogue,42,80,0.09291521486643438,3.8095238095238093,5.229213248837158,33,0.4961309523809525,0.7475609756097561,-0.3980410131797529,0.4485904968047825,0.18773466833541927,2.1846689895470384,1,1.0,1.0,0.046,0.0,4.10688321842837,1.845016483762411,1.0
