novel,n_nodes,n_edges,density,in_strength_gini,out_strength_gini,reciprocity,in_out_correlation
Oliver_Twist,94,247,0.02825440402653855,0.7273991343156384,0.5488535124872207,0.3805668016194332,0.5397308794116439
Our_Mutual_Friend,350,721,0.005902578796561604,0.8194346992235008,0.749163702012425,0.2552011095700416,0.8271366819254163
Paul_Clifford,228,351,0.0067818223974032,0.7197021855029482,0.66938209550221,0.17094017094017094,0.7242252361344057
Pendennis,615,1145,0.0030322290193585976,0.7459443295095398,0.8024477228992944,0.1799126637554585,0.8282238299443118
Persuasion,85,222,0.031092436974789917,0.759639123064496,0.6451369216241738,0.36936936936936937,0.5939837721576668
Phoebe_Junior,141,331,0.016767983789260386,0.8168670387863175,0.7303245436105477,0.229607250755287,0.9089923890997221
Pride_and_Prejudice,107,324,0.02856639040733557,0.8159495548961424,0.6996476261127597,0.30864197530864196,0.727475684798291
Romola,306,637,0.006825243758705668,0.7561742870543017,0.7129598467393274,0.15384615384615385,0.9021958919931375
Rookwood,228,471,0.009100394157199165,0.8099319590698032,0.7423781891866998,0.25902335456475584,0.7665594975369384
Ruth,128,303,0.01863927165354331,0.8058024096385542,0.6716867469879518,0.30363036303630364,0.8152978761067602
Sense_and_Sensibility,101,255,0.02524752475247525,0.8057423550574235,0.6872602739726027,0.3058823529411765,0.5849712951689328
Shirley,279,574,0.0074005311879528635,0.8058044622833517,0.8340524180565394,0.20905923344947736,0.8856206519722859
Sybil,286,578,0.007091154459575512,0.7149339933993399,0.6764193997524752,0.20069204152249134,0.8799554682629122
Tess_of_the_d'Urbervilles,79,143,0.023206751054852322,0.7815381497618806,0.705968558486544,0.27972027972027974,0.7915955914001023
The_Heart_of_Midlothian1,174,307,0.010198657896485283,0.6600170988885723,0.6674390077688428,0.1563517915309446,0.5743449338800006
The_Heart_of_Midlothian2,267,377,0.005308214356115007,0.6381181428800476,0.7158119658119658,0.14323607427055704,0.7884980330440907
The_Heir_of_Redclyffe,274,695,0.009291195422582284,0.8788629612579228,0.8230787499590526,0.2647482014388489,0.848946168264893
The_Invisible_Man,41,60,0.036585365853658534,0.5997226074895978,0.6019417475728155,0.3,0.8363777891928419
The_Life_and_Adventures_of_Michael_Armstrong,141,355,0.017983789260385005,0.8082675078864353,0.7475552050473186,0.3154929577464789,0.8570497549727669
The_Light_that_Failed,100,168,0.01696969696969697,0.8280012389928758,0.7860082304526749,0.20238095238095238,0.9160643945250032
The_Mayor_of_Casterbridge,75,124,0.022342342342342343,0.7594327348425709,0.7655455059355568,0.27419354838709675,0.860985966743124
The_Mill_on_the_Floss,222,465,0.009477803595450654,0.846240246934751,0.7823682526136121,0.24516129032258063,0.9381607101774933
The_Mysteries_of_London1,267,567,0.007983441750443524,0.7845201552136148,0.7692045696445043,0.2716049382716049,0.8337846673053222
The_Mysteries_of_London2,300,728,0.008115942028985508,0.7924401452088748,0.7292001565210035,0.28296703296703296,0.7740042556375726
The_Mysteries_of_London3,321,837,0.008148364485981309,0.7875987458000975,0.7509373828271466,0.3034647550776583,0.491954062395499
The_Mysteries_of_London4,295,621,0.007160152196471809,0.7315629233837208,0.7038048264928659,0.2286634460547504,0.7395172361839967
The_Odd_Women,96,230,0.025219298245614034,0.8123313673649244,0.7319175736582102,0.3739130434782609,0.8562399276762153
The_Picture_of_Dorian_Gray,111,158,0.01294021294021294,0.8267195767195767,0.81671826625387,0.16455696202531644,0.8695569840666547
The_Pirate,335,571,0.005103226383054786,0.7288528549567654,0.7986382709207506,0.2031523642732049,0.8730115470507894
The_Return_of_the_Native,85,231,0.03235294117647059,0.8080346257010486,0.6701137194919199,0.3463203463203463,0.8626438339710828
The_Small_House_at_Allington,211,507,0.011442112389979688,0.8204946469956931,0.7647820805236017,0.3076923076923077,0.7742652462836209
The_Story_of_a_Modern_Woman,58,118,0.03569267997580157,0.7310237446477228,0.6192622091804653,0.2542372881355932,0.7997782187260651
Trilby,199,295,0.007486929597482361,0.7022710099907649,0.8050768567082169,0.12203389830508475,0.6990006842520698
Vanity_Fair_1847,450,791,0.003914872556297946,0.742957779618266,0.7683578897338403,0.20480404551201012,0.9000731701605712
Vivian_Grey,400,618,0.0038721804511278194,0.6922770003308745,0.8104089219330854,0.12944983818770225,0.81841858910505
Waverley,327,468,0.004390161535430855,0.647118956431595,0.7531712473572939,0.12393162393162394,0.9194785320447396
Westward_Ho!,484,851,0.0036402990948445494,0.7160033343087278,0.7828813883749123,0.1410105757931845,0.744744241010935
