novel,metric,k,gender,base_share,topk_share,rep_ratio,diff
The_Life_and_Adventures_of_Michael_Armstrong,in_strength,10,M,0.5483870967741935,0.4,0.7294117647058824,-0.14838709677419348
The_Life_and_Adventures_of_Michael_Armstrong,in_strength,10,F,0.45161290322580644,0.6,1.3285714285714285,0.14838709677419354
The_Light_that_Failed,in_strength,10,M,0.6923076923076923,0.7,1.011111111111111,0.007692307692307665
The_Light_that_Failed,in_strength,10,F,0.3076923076923077,0.3,0.9749999999999999,-0.0076923076923077205
The_Mayor_of_Casterbridge,in_strength,10,M,0.782608695652174,0.8,1.0222222222222221,0.017391304347826098
The_Mayor_of_Casterbridge,in_strength,10,F,0.21739130434782608,0.2,0.92,-0.01739130434782607
The_Mill_on_the_Floss,in_strength,10,M,0.6268656716417911,0.5,0.7976190476190476,-0.12686567164179108
The_Mill_on_the_Floss,in_strength,10,F,0.373134328358209,0.5,1.3399999999999999,0.12686567164179102
The_Mysteries_of_London1,in_strength,10,M,0.7029702970297029,0.6,0.8535211267605634,-0.10297029702970295
The_Mysteries_of_London1,in_strength,10,F,0.297029702970297,0.4,1.346666666666667,0.102970297029703
The_Mysteries_of_London2,in_strength,10,M,0.6967213114754098,0.5,0.7176470588235294,-0.19672131147540983
The_Mysteries_of_London2,in_strength,10,F,0.30327868852459017,0.5,1.6486486486486487,0.19672131147540983
The_Mysteries_of_London3,in_strength,10,M,0.6639344262295082,0.7,1.054320987654321,0.0360655737704918
The_Mysteries_of_London3,in_strength,10,F,0.3360655737704918,0.3,0.8926829268292683,-0.0360655737704918
The_Mysteries_of_London4,in_strength,10,M,0.6747967479674797,0.7,1.0373493975903614,0.025203252032520274
The_Mysteries_of_London4,in_strength,10,F,0.3252032520325203,0.3,0.9225,-0.02520325203252033
The_Odd_Women,in_strength,10,M,0.3023255813953488,0.3,0.9923076923076923,-0.0023255813953488302
The_Odd_Women,in_strength,10,F,0.6976744186046512,0.7,1.0033333333333332,0.0023255813953487747
The_Picture_of_Dorian_Gray,in_strength,10,M,0.6585365853658537,0.7,1.0629629629629629,0.04146341463414627
The_Picture_of_Dorian_Gray,in_strength,10,F,0.34146341463414637,0.3,0.8785714285714284,-0.04146341463414638
The_Pirate,in_strength,10,M,0.75,0.7,0.9333333333333332,-0.050000000000000044
The_Pirate,in_strength,10,F,0.25,0.3,1.2,0.04999999999999999
The_Return_of_the_Native,in_strength,10,M,0.6428571428571429,0.6,0.9333333333333332,-0.04285714285714293
The_Return_of_the_Native,in_strength,10,F,0.35714285714285715,0.4,1.12,0.04285714285714287
The_Small_House_at_Allington,in_strength,10,M,0.675,0.6,0.8888888888888888,-0.07500000000000007
The_Small_House_at_Allington,in_strength,10,F,0.325,0.4,1.2307692307692308,0.07500000000000001
The_Story_of_a_Modern_Woman,in_strength,10,M,0.56,0.4,0.7142857142857143,-0.16000000000000003
The_Story_of_a_Modern_Woman,in_strength,10,F,0.44,0.6,1.3636363636363635,0.15999999999999998
Trilby,in_strength,10,M,0.6808510638297872,0.5,0.734375,-0.18085106382978722
Trilby,in_strength,10,F,0.3191489361702128,0.5,1.5666666666666667,0.18085106382978722
Vanity_Fair_1847,in_strength,10,M,0.55625,0.5,0.898876404494382,-0.05625000000000002
Vanity_Fair_1847,in_strength,10,F,0.44375,0.5,1.1267605633802817,0.05625000000000002
Vivian_Grey,in_strength,10,M,0.8,0.7,0.8749999999999999,-0.10000000000000009
Vivian_Grey,in_strength,10,F,0.2,0.3,1.4999999999999998,0.09999999999999998
Waverley,in_strength,10,M,0.7659574468085106,0.8,1.0444444444444445,0.03404255319148941
Waverley,in_strength,10,F,0.23404255319148937,0.2,0.8545454545454546,-0.034042553191489355
Westward_Ho!,in_strength,10,M,0.8536585365853658,0.8,0.9371428571428572,-0.05365853658536579
Westward_Ho!,in_strength,10,F,0.14634146341463414,0.2,1.366666666666667,0.053658536585365874
A_Tale_of_Two_Cities,out_strength,10,M,0.7419354838709677,0.7,0.9434782608695651,-0.041935483870967794
A_Tale_of_Two_Cities,out_strength,10,F,0.25806451612903225,0.3,1.1625,0.04193548387096774
Adam_Bede,out_strength,10,M,0.620253164556962,0.6,0.9673469387755103,-0.020253164556962022
Adam_Bede,out_strength,10,F,0.379746835443038,0.4,1.0533333333333332,0.020253164556962022
Almayer's_Folly,out_strength,10,M,0.8823529411764706,0.8,0.9066666666666667,-0.08235294117647052
Almayer's_Folly,out_strength,10,F,0.11764705882352941,0.2,1.7000000000000002,0.0823529411764706
Armadale,out_strength,10,M,0.56,0.5,0.8928571428571428,-0.06000000000000005
Armadale,out_strength,10,F,0.44,0.5,1.1363636363636365,0.06
Aurora_Floyd1,out_strength,10,M,0.47368421052631576,0.4,0.8444444444444446,-0.07368421052631574
Aurora_Floyd1,out_strength,10,F,0.5263157894736842,0.6,1.1400000000000001,0.0736842105263158
Aurora_Floyd2,out_strength,10,M,0.7272727272727273,0.6,0.825,-0.12727272727272732
Aurora_Floyd2,out_strength,10,F,0.2727272727272727,0.4,1.4666666666666668,0.12727272727272732
Aurora_Floyd3,out_strength,10,M,0.72,0.6,0.8333333333333334,-0.12
Aurora_Floyd3,out_strength,10,F,0.28,0.4,1.4285714285714286,0.12
Barchester_Towers,out_strength,10,M,0.6129032258064516,0.5,0.8157894736842105,-0.11290322580645162
Barchester_Towers,out_strength,10,F,0.3870967741935484,0.5,1.2916666666666667,0.11290322580645162
Belinda,out_strength,10,M,0.5,0.3,0.6,-0.2
Belinda,out_strength,10,F,0.5,0.7,1.4,0.19999999999999996
Bébée,out_strength,10,M,0.42105263157894735,0.4,0.9500000000000001,-0.021052631578947323
Bébée,out_strength,10,F,0.5789473684210527,0.6,1.0363636363636364,0.021052631578947323
Can_You_Forgive_Her,out_strength,10,M,0.6901408450704225,0.5,0.7244897959183674,-0.1901408450704225
Can_You_Forgive_Her,out_strength,10,F,0.30985915492957744,0.5,1.6136363636363638,0.19014084507042256
Daniel_Deronda,out_strength,10,M,0.4936708860759494,0.5,1.0128205128205128,0.006329113924050611
Daniel_Deronda,out_strength,10,F,0.5063291139240507,0.5,0.9874999999999999,-0.006329113924050667
Deerbrook,out_strength,10,M,0.46774193548387094,0.5,1.0689655172413794,0.03225806451612906
Deerbrook,out_strength,10,F,0.532258064516129,0.5,0.9393939393939394,-0.032258064516129004
Dombey_and_Son,out_strength,10,M,0.6421052631578947,0.5,0.7786885245901639,-0.14210526315789473
Dombey_and_Son,out_strength,10,F,0.35789473684210527,0.5,1.3970588235294117,0.14210526315789473
East_Lynne,out_strength,10,M,0.5862068965517241,0.4,0.6823529411764707,-0.18620689655172407
East_Lynne,out_strength,10,F,0.41379310344827586,0.6,1.45,0.18620689655172412
Emma,out_strength,10,M,0.41379310344827586,0.5,1.2083333333333333,0.08620689655172414
Emma,out_strength,10,F,0.5862068965517241,0.5,0.8529411764705883,-0.08620689655172409
Esther_Waters,out_strength,10,M,0.6065573770491803,0.5,0.8243243243243243,-0.10655737704918034
