MM,MF,FM,FF,pct_MM,pct_MF,pct_FM,pct_FF,F_out_share,F_in_share,FM_MF_ratio,novel
18,1,0,0,94.73684210526316,5.2631578947368425,0.0,0.0,0.0,0.05263157894736842,0.0,Melmoth_the_Wanderer1
2,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,,Melmoth_the_Wanderer2
20,55,7,9,21.978021978021978,60.43956043956044,7.6923076923076925,9.89010989010989,0.17582417582417584,0.7032967032967034,0.12727272727272726,Melmoth_the_Wanderer3
30,53,73,66,13.513513513513514,23.873873873873872,32.88288288288288,29.72972972972973,0.6261261261261262,0.536036036036036,1.3773584905660377,Melmoth_the_Wanderer4
1647,616,1024,343,45.37190082644628,16.96969696969697,28.209366391184574,9.449035812672177,0.3765840220385675,0.2641873278236915,1.6623376623376624,Middlemarch
77,235,639,729,4.583333333333333,13.988095238095237,38.035714285714285,43.392857142857146,0.8142857142857143,0.5738095238095238,2.7191489361702126,Miss_Marjoribanks
926,85,39,1,88.10656517602284,8.087535680304471,3.7107516650808754,0.09514747859181731,0.038058991436726926,0.0818268315889629,0.4588235294117647,Mr._Midshipman_Easy
449,515,535,217,26.165501165501166,30.011655011655012,31.177156177156178,12.645687645687646,0.4382284382284382,0.42657342657342656,1.0388349514563107,New_Grub_Street
398,527,703,558,18.2067703568161,24.10795974382434,32.15919487648674,25.526075022872828,0.5768526989935956,0.49634034766697166,1.333965844402277,North_and_South
623,147,221,39,60.48543689320388,14.271844660194175,21.45631067961165,3.7864077669902914,0.2524271844660194,0.18058252427184465,1.5034013605442176,Old_Mortality
546,164,154,19,61.83465458663647,18.57304643261608,17.440543601359003,2.1517553793884483,0.19592298980747452,0.2072480181200453,0.9390243902439024,Oliver_Twist
1422,599,840,657,40.42069357589539,17.02671972711768,23.877202956225126,18.675383740761795,0.42552586696986927,0.35702103467879476,1.4023372287145242,Our_Mutual_Friend
479,176,113,15,61.17496807151979,22.47765006385696,14.431673052362708,1.9157088122605364,0.16347381864623245,0.24393358876117496,0.6420454545454546,Paul_Clifford
1071,669,507,196,43.83954154727794,27.38436348751535,20.75317232910356,8.022922636103152,0.2877609496520671,0.35407286123618503,0.757847533632287,Pendennis
130,164,398,250,13.800424628450106,17.409766454352443,42.25053078556263,26.53927813163482,0.6878980891719745,0.4394904458598726,2.426829268292683,Persuasion
257,323,627,583,14.35754189944134,18.044692737430168,35.02793296089386,32.56983240223464,0.6759776536312849,0.506145251396648,1.9411764705882353,Phoebe_Junior
123,216,633,550,8.081471747700395,14.19185282522996,41.59001314060447,36.136662286465175,0.7772667542706965,0.5032851511169514,2.9305555555555554,Pride_and_Prejudice
751,392,389,90,46.300863131935884,24.167694204685574,23.982737361282368,5.548705302096177,0.29531442663378543,0.2971639950678175,0.9923469387755102,Romola
858,353,343,123,51.16279069767442,21.049493142516397,20.45319022063208,7.334525939177102,0.27787716159809184,0.283840190816935,0.9716713881019831,Rookwood
286,365,508,367,18.74180865006553,23.918741808650065,33.28964613368283,24.049803407601573,0.573394495412844,0.4796854521625164,1.3917808219178083,Ruth
64,119,554,555,4.953560371517028,9.210526315789474,42.87925696594427,42.95665634674923,0.858359133126935,0.521671826625387,4.65546218487395,Sense_and_Sensibility
555,466,747,492,24.557522123893804,20.61946902654867,33.05309734513274,21.76991150442478,0.5482300884955752,0.42389380530973453,1.6030042918454936,Shirley
355,285,336,184,30.603448275862068,24.56896551724138,28.96551724137931,15.862068965517242,0.4482758620689655,0.4043103448275862,1.1789473684210525,Sybil
27,179,108,137,5.986696230598669,39.689578713968956,23.946784922394677,30.376940133037692,0.5432372505543237,0.7006651884700665,0.6033519553072626,Tess_of_the_d'Urbervilles
207,111,91,28,47.36842105263158,25.40045766590389,20.823798627002287,6.407322654462242,0.2723112128146453,0.3180778032036613,0.8198198198198198,The_Heart_of_Midlothian1
108,138,159,134,20.037105751391465,25.602968460111317,29.499072356215212,24.860853432282003,0.5435992578849722,0.5046382189239332,1.1521739130434783,The_Heart_of_Midlothian2
1140,804,1378,692,28.400597907324364,20.029895366218238,34.32984554060787,17.239661185849528,0.515695067264574,0.3726955655206776,1.7139303482587065,The_Heir_of_Redclyffe
114,6,11,1,86.36363636363636,4.545454545454546,8.333333333333334,0.7575757575757576,0.09090909090909091,0.05303030303030303,1.8333333333333333,The_Invisible_Man
365,251,410,381,25.941719971570716,17.839374555792467,29.14001421464108,27.078891257995735,0.5621890547263682,0.449182658137882,1.6334661354581674,The_Life_and_Adventures_of_Michael_Armstrong
449,160,210,23,53.32541567695962,19.002375296912113,24.94061757719715,2.7315914489311166,0.27672209026128264,0.2173396674584323,1.3125,The_Light_that_Failed
332,25,19,0,88.29787234042553,6.648936170212766,5.053191489361702,0.0,0.05053191489361702,0.06648936170212766,0.76,The_Mayor_of_Casterbridge
398,690,716,298,18.934348239771648,32.825880114176975,34.0627973358706,14.17697431018078,0.48239771646051377,0.47002854424357754,1.03768115942029,The_Mill_on_the_Floss
982,403,634,166,44.94279176201373,18.443935926773456,29.016018306636155,7.5972540045766594,0.36613272311212813,0.26041189931350117,1.5732009925558312,The_Mysteries_of_London1
1076,628,704,423,38.00777110561639,22.182974214058635,24.8675379724479,14.941716707877076,0.39809254680324974,0.3712469092193571,1.1210191082802548,The_Mysteries_of_London2
2104,956,403,225,57.049891540130155,25.92190889370933,10.927331887201735,6.100867678958785,0.1702819956616052,0.3202277657266811,0.4215481171548117,The_Mysteries_of_London3
910,517,481,210,42.965061378659115,24.40982058545798,22.71010387157696,9.91501416430595,0.3262511803588291,0.3432483474976393,0.9303675048355899,The_Mysteries_of_London4
59,318,403,774,3.7966537966537968,20.463320463320464,25.933075933075934,49.80694980694981,0.7574002574002574,0.7027027027027027,1.2672955974842768,The_Odd_Women
816,165,58,4,78.23585810162992,15.819750719079579,5.560882070949185,0.3835091083413231,0.059443911792905084,0.16203259827420902,0.3515151515151515,The_Picture_of_Dorian_Gray
404,269,219,139,39.18525703200776,26.09117361784675,21.241513094083412,13.482056256062076,0.3472356935014549,0.3957322987390883,0.8141263940520446,The_Pirate
