character,radius,mentions,degree_centrality,eigenvector,pagerank
Melmoth,0.040433118612648485,212,0.3394495412844037,0.22157472690119207,0.040634449468530585
Christians,0.12837405199892554,4,0.2018348623853211,0.20159789617232948,0.012579809468900012
Cæsars,0.09790749138636902,1,0.2018348623853211,0.20159789617232945,0.012579809468900012
Franciscan,0.14953517040086078,1,0.2018348623853211,0.20159789617232943,0.012579809468900012
Isidora.--“No!--it,0.12663236159605265,1,0.2018348623853211,0.20159789617232948,0.012579809468900012
Lully,0.10721263047480611,2,0.2018348623853211,0.20159789617232937,0.012579809468900012
Nero,0.1424274891090772,1,0.2018348623853211,0.20159789617232948,0.012579809468900012
Tubal Cain,0.09175312921310323,1,0.2018348623853211,0.20159789617232957,0.012579809468900012
ever!--we,0.10916358787984211,1,0.2018348623853211,0.20159789617232954,0.012579809468900012
"ever,--there",0.1014912979217022,1,0.2018348623853211,0.2015978961723295,0.012579809468900012
the Alarics,0.07876621275912422,1,0.2018348623853211,0.20159789617232945,0.012579809468900012
the Attilas,0.07416745851507997,1,0.2018348623853211,0.20159789617232945,0.012579809468900012
the Caliphs,0.09491016281576364,1,0.2018348623853211,0.20159789617232945,0.012579809468900012
the Koran,0.07014896457554279,1,0.2018348623853211,0.20159789617232937,0.012579809468900012
the Mahommedans,0.11411228852214435,1,0.2018348623853211,0.20159789617232954,0.012579809468900012
the Moors,0.09919558582491272,1,0.2018348623853211,0.20159789617232945,0.012579809468900012
the Nimrods,0.11232106668147925,1,0.2018348623853211,0.20159789617232948,0.012579809468900012
the Saracens,0.07004128232328428,1,0.2018348623853211,0.20159789617232945,0.012579809468900012
Donna Clara,0.9513684435070137,92,0.14678899082568808,0.030991795102004355,0.029398495648543202
Father Jose,0.9633226017214026,57,0.11926605504587157,0.029512304762183403,0.020738448370191877
"Father Jose,--when Isidora",0.9736435654325969,3,0.05504587155963303,0.015621467804559617,0.004743625393174346
Father?”--“Humph,0.9718568166323969,1,0.05504587155963303,0.015621467804559613,0.004743625393174346
Fernan,0.9629482824386301,43,0.11926605504587157,0.02948135476246338,0.022833197121100705
Hush!--I,0.9716808954893174,1,0.05504587155963303,0.01562146780455961,0.004743625393174346
Madonna,0.9628148432810562,8,0.06422018348623854,0.01698529186136946,0.011404290726428276
Father Jose--“Senhor,0.9591894683828657,2,0.06422018348623854,0.016985291861369493,0.005177532757007981
Senhor,0.9574099543546255,2,0.08256880733944955,0.027900171057135496,0.006766659688590338
the Sorites,0.9606735131479742,1,0.06422018348623854,0.01698529186136949,0.005177532757007982
Isidora?”--“Yes!--yes!--I,0.7864478704692701,1,0.01834862385321101,0.020089782939700554,0.0024282594708391406
Adonijah,0.9481128711538233,43,0.11926605504587157,0.03445897433714594,0.01745513282286898
Monçada,0.9088299643273765,12,0.07339449541284404,0.025038600021631163,0.008567799841511407
Revelation,0.8188392733216133,1,0.009174311926605505,0.010223297139840937,0.0018886207549870285
Mithridates,0.7993160602563629,1,0.01834862385321101,0.020089782939700554,0.0024282594708391406
Isidora--“tell,0.8536578141981063,1,0.027522935779816515,0.02140393433200742,0.0029318498525324217
Fra Jose,0.9364947997087977,5,0.045871559633027525,0.013943312516663364,0.005939025398265245
the Dominican,0.9426868512678381,1,0.027522935779816515,0.012224209461544733,0.003119651468683692
Daughter,0.929524191042929,6,0.01834862385321101,0.011603328655901177,0.0023985392040435085
St Francis Xavier,0.8999086604992664,1,0.01834862385321101,0.011603328655901177,0.0023985392040435085
Juvenal,0.9376111802219795,1,0.01834862385321101,0.010844177945484451,0.0026097330196272117
