character,radius,mentions,degree_centrality,eigenvector,pagerank
Miss Grantley,0.8826274511457879,1,0.005847953216374269,0.006830951335900407,0.0009380226467810639
Nicholls,0.8593639950016857,1,0.011695906432748537,0.011668862511474372,0.0010045500985588725
Lord ----,0.8375229411185535,1,0.023391812865497075,0.02564393814713948,0.0011513272969266416
Poor Wickham,0.87086380910468,1,0.005847953216374269,0.006830951335900407,0.0009380226467810639
Miss Burney,0.9224297595796352,1,0.06432748538011696,0.03794895193214919,0.0023041480832557324
Mr. Shapely,0.9196065965574122,1,0.06432748538011696,0.037948951932149186,0.0023041480832557324
Mr. Spectator,0.8989209760907747,1,0.06432748538011696,0.037948951932149165,0.0023041480832557324
Mrs. Musgrove,0.8895032418697018,1,0.06432748538011696,0.037948951932149165,0.0023041480832557324
Smollett,0.9215836881753608,1,0.06432748538011696,0.03794895193214919,0.0023041480832557324
Captain Carter,0.9314755609282098,7,0.04678362573099415,0.034327162430461154,0.0026834636500645947
Illustration,0.8733212369601914,12,0.011695906432748537,0.009468982458359193,0.001109252981235002
June,0.8602526982639449,1,0.017543859649122806,0.0134546364494767,0.0011437973378811083
Happy,0.8348820913148136,1,0.011695906432748537,0.014335383572571846,0.0010075714426526648
Mr. Darcy!--and,0.8508482607413005,1,0.011695906432748537,0.014335383572571846,0.0010075714426526648
Mr. Austen Leigh,0.8001344607636497,1,0.04093567251461988,0.03913252198804429,0.0014830901235596914
Fordyce,0.8387777886880696,1,0.017543859649122806,0.02115784439053134,0.001090205391099793
Richard,0.8591576151875843,1,0.023391812865497075,0.021588687121545522,0.00120172761292523
Elizabeth:--,0.8795426782350054,1,0.005847953216374269,0.006283777354869434,0.0009415398777196006
the Gouldings,0.8898103473550019,2,0.017543859649122806,0.01497197321605669,0.0011293134096810914
Mrs. Bingley,0.8667435990499898,1,0.017543859649122806,0.014208504788543715,0.0010998990252572608
General----,0.8830401957859726,1,0.029239766081871343,0.01960454868224948,0.0013828894823668296
Poor Reynolds,0.8709243729640906,1,0.005847953216374269,0.0064261961414564086,0.0009427059242421889
Dawson,0.8661401056541561,3,0.005847953216374269,0.007100913098601252,0.0009451172159640642
Bromley,0.8518737450184181,1,0.011695906432748537,0.010101962364794895,0.0010223201000371326
"Kitty,--",0.8750835631293773,1,0.005847953216374269,0.007100913098601252,0.0009451172159640642
Clarke,0.9552439771871967,1,0.029239766081871343,0.013566727493339852,0.0020035775602686183
Mamma,0.9586863247888885,2,0.03508771929824561,0.013580667103021636,0.0030213198871056083
Miss Watson,0.9535043411998883,1,0.029239766081871343,0.013566727493339861,0.0020035775602686183
M^{r,0.9560383751495469,1,0.011695906432748537,0.0052423092459811665,0.0016488757983492708
M^{rs,0.9586217268871438,1,0.011695906432748537,0.00524230924598117,0.0016488757983492708
Michaelmas,0.9346275724991453,1,0.017543859649122806,0.004838444177320576,0.0015297068279229928
Mr. Morris,0.9394209723819302,1,0.017543859649122806,0.004838444177320576,0.0015297068279229928
Austenians,0.9777497891283624,1,0.04093567251461988,0.006986268189616591,0.0029607931545343425
Edmund,0.979198854709939,3,0.04093567251461988,0.0069862681896165945,0.0029607931545343425
Fanny,0.9752876457997083,2,0.04093567251461988,0.0069862681896165945,0.0029607931545343425
Mrs. Norris,0.9736786753058108,2,0.05847953216374269,0.011691692676609276,0.004171177685349599
Walt Whitman,0.977452195806533,1,0.04093567251461988,0.006986268189616584,0.0029607931545343425
_ Mansfield Park,0.9772203230385156,1,0.04093567251461988,0.006986268189616593,0.0029607931545343425
Coleridge,0.9792747484856893,1,0.04678362573099415,0.009970129004695061,0.0030531953461866808
Cosway,0.9780870385015786,2,0.04678362573099415,0.009970129004695051,0.0030531953461866808
German,0.9784438811679156,1,0.04678362573099415,0.009970129004695055,0.0030531953461866808
Meissonier,0.9777620139241048,1,0.04678362573099415,0.009970129004695053,0.0030531953461866808
Memling,0.9774925354254466,1,0.04678362573099415,0.009970129004695056,0.0030531953461866808
Mr. Goldwin Smith,0.9790706880210813,2,0.04678362573099415,0.009970129004695072,0.0030531953461866808
Scott,0.9770983468415051,1,0.04678362573099415,0.009970129004695058,0.0030531953461866808
Miss Bates,0.9031650437658366,1,0.011695906432748537,0.006578430799862881,0.0011684314129215897
John Thorpe,0.969809109709152,1,0.017543859649122806,0.00507405008532379,0.0018951254930273834
the Eltons,0.9717325237123126,1,0.017543859649122806,0.005074050085323779,0.0018951254930273834
Lydia Wickham,0.914554244062299,1,0.029239766081871343,0.011459828461357138,0.0016112419816515645
Protested,0.8730096257919224,1,0.005847953216374269,0.003427184720313443,0.00095323588403713
papa,0.973071890458472,1,0.005847953216374269,0.0004421223951053429,0.0013001331717891833
