character,radius,mentions,degree_centrality,eigenvector,pagerank
"the Duke,--""wine",0.9701836656315423,2,0.006493506493506494,0.018177505455712572,0.0015978530505455515
Auld Reekie,0.31186730059009277,1,0.0021645021645021645,0.018104628624363257,0.00044418501760053457
Maggie Dickson,0.944893175914569,31,0.01948051948051948,0.041496607109681366,0.0027027863188306936
Lord Archibald,0.17029036578079826,8,0.006493506493506494,0.024565294684561152,0.0009010692527190195
old Mungo Mangleman,0.28916603087137044,1,0.006493506493506494,0.024565294684561124,0.0007576648929326873
Greenwich,0.05774654634542579,2,0.006493506493506494,0.029528228560086616,0.0008069457596254698
the Highlanders,0.3374986830768799,4,0.012987012987012988,0.04874167923912518,0.0011171324830085946
Hielandmen,0.26174806975960574,2,0.0021645021645021645,0.018104628624363257,0.00044418501760053457
Allan,0.2861747442088911,1,0.006493506493506494,0.02912849064747657,0.0007883919259987609
Wilkie,0.22237048039032475,1,0.006493506493506494,0.029128490647476555,0.0007883919259987609
anon,0.3624227125851874,1,0.006493506493506494,0.03133650938314472,0.0007002222127199407
Mr.,0.3801514096289017,3,0.017316017316017316,0.0678092254456116,0.0014149194940986168
Effie?--Effie,0.19193915563478214,5,0.008658008658008658,0.037884202722743635,0.0010959852699987337
Satan,0.9162020311063324,2,0.015151515151515152,0.03442444708535613,0.0015137719488522465
"Deans--""She",0.3294559746293121,29,0.010822510822510822,0.04045364935671623,0.0011940142694284576
Rebecca MacNaught,0.26012723539250354,1,0.008658008658008658,0.03098070714428305,0.0009322221378534223
patient Job,0.30014670075789174,1,0.008658008658008658,0.030980707144283033,0.0009322221378534223
Jesse,0.5224666512221353,2,0.01948051948051948,0.06429978946193587,0.0015518816713571706
Old Deans,0.15523800727393205,1,0.006493506493506494,0.034030751575986305,0.0006755045872579904
Bible Butler,0.33738789515221235,6,0.015151515151515152,0.05842232673758879,0.0015639541921596925
Alexander Peden,0.8794546991796622,4,0.032467532467532464,0.060403597543914625,0.002845771649006059
Robert Marshal of Starry Shaw,0.775003126969226,6,0.015151515151515152,0.053090685861112395,0.0012646064989014286
the famous Donald Cargill,0.7910792899240842,4,0.015151515151515152,0.05309068586111246,0.0012646064989014286
Mr. Nichil Novit,0.7054962408444018,2,0.021645021645021644,0.05745600339808066,0.0018370638681448632
Warld,0.5563972012487092,1,0.008658008658008658,0.044781259048209315,0.0008128856556841343
Duncan of Knock,0.39614302313384314,26,0.03896103896103896,0.10839089824193643,0.004743594053845945
Duncan,0.6612587040066206,152,0.08441558441558442,0.11847637724389357,0.013719246293138521
Mr. Deans,0.582297990622195,2,0.006493506493506494,0.03756514343211445,0.0006864166070776208
Sunday,0.5725528264501432,1,0.006493506493506494,0.03049589856580974,0.0006926145977945391
Brockie,0.5424507131455886,1,0.006493506493506494,0.03583969161888724,0.0006815991461627631
May Hettly,0.1901821270144628,5,0.021645021645021644,0.06290949195449204,0.0019778725260145044
Miss Martha Buskbody,0.3632577993052824,1,0.008658008658008658,0.027059654349803775,0.0008938526512477638
Mrs. Semple,0.322633983183525,1,0.008658008658008658,0.027059654349803768,0.0008938526512477638
Mrs. Dolly,0.2996893394810233,3,0.006493506493506494,0.029159106046659514,0.0006825758779495997
Mrs.,0.3800760864675246,1,0.006493506493506494,0.029159106046659514,0.0006825758779495997
Cowslip,0.2989328715637761,1,0.0021645021645021645,0.018104628624363257,0.00044418501760053457
"Jeanie!""--",0.23886226154101797,1,0.004329004329004329,0.027992310955812408,0.0005568223944768645
Sae,0.2992853157876195,1,0.006493506493506494,0.029273970854500474,0.0007769081083001104
"hearing--""dinna",0.3209212383975828,1,0.006493506493506494,0.029273970854500477,0.0007769081083001104
the Quakers,0.9802939376060702,4,0.0367965367965368,0.04793648790525227,0.003591812467466488
Cot tam,0.787826735522092,8,0.023809523809523808,0.06526037617371547,0.0026199948081332214
Mr. Whackbairn,0.7972947475529519,7,0.017316017316017316,0.05232855441821652,0.0017737319004559682
Clavers,0.5066960475219532,1,0.017316017316017316,0.05479193038953555,0.001369063670453554
Dundee,0.5638832629348526,2,0.017316017316017316,0.05479193038953554,0.001369063670453554
E.,0.41939410304828384,4,0.023809523809523808,0.06897343148935844,0.0023876298804002636
J. D.,0.5561409502824048,28,0.023809523809523808,0.06231633487403749,0.0020716251782448855
R. B.,0.488087391072437,1,0.017316017316017316,0.05479193038953554,0.001369063670453554
L. S.,0.39980153862782614,1,0.012987012987012988,0.05612759940839044,0.0010721104556947832
the Reverend George Whiterose,0.3905638392256067,5,0.012987012987012988,0.056127599408390426,0.0010721104556947832
Mr. Whiterose,0.21194179153340306,2,0.012987012987012988,0.06514270630351937,0.0010262048642607198
the Laird of Lounsbeck,0.7172368024118786,15,0.02813852813852814,0.0729453811593692,0.002342560441191598
Jeanie?--Why,0.2512363699552885,1,0.004329004329004329,0.0323780636741254,0.0005583166175761999
Donacha,0.4128993584948055,89,0.05194805194805195,0.11486841682801047,0.006527538982389697
Dutch,0.7064885941201797,1,0.004329004329004329,0.02329170838235229,0.0005722850071019554
Craigsture,0.3567679909232467,1,0.006493506493506494,0.04212663514790619,0.0006791845654619188
Femie,0.20666712438612256,10,0.017316017316017316,0.0628349957960445,0.0018634702755606874
Reubie,0.30603095644285155,1,0.008658008658008658,0.04487764882986602,0.0008111383886217118
Duke Archibald,0.41591724379198225,3,0.012987012987012988,0.03434018954363096,0.0013145623925570568
Margaret MacCraw,0.4583770156524777,1,0.008658008658008658,0.03247151290894665,0.0008748616017770952
Saint George,0.6737298772226422,1,0.004329004329004329,0.02329170838235229,0.0005722850071019554
Lady S.,0.18890283475587508,1,0.006493506493506494,0.04226574600557456,0.0006709539944525298
Duncan MacGilligan,0.3422040819068678,3,0.008658008658008658,0.035916959215972565,0.0008977190356015472
Annaple Bailzou,0.5387272697594274,9,0.01948051948051948,0.07279830436149703,0.0018469064557400357
Archdeacon Fleming,0.5397065238550768,2,0.01948051948051948,0.061842463278458756,0.0016141160619936074
the Whistler,0.4778973723179543,8,0.017316017316017316,0.06464931089180664,0.0015595750253432862
Imogene,0.8173620096612048,3,0.010822510822510822,0.022731540651750058,0.0010189184901054893
Liberton,0.818519482590886,1,0.010822510822510822,0.022731540651750048,0.0010189184901054893
Plumdamas,0.8223480176203847,5,0.015151515151515152,0.035940608184647484,0.0013981660010347263
auld Grunwiggin,0.6278707593843847,1,0.004329004329004329,0.017871757508741874,0.0005602221560002526
Mr. Crossmyloof's,0.42689752374517265,1,0.0021645021645021645,0.014273435049762181,0.00043810568204909965
Luckie MacPhail,0.7566345774018786,1,0.010822510822510822,0.028776229553633677,0.0010343165330902165
Mrs. Crombie,0.7700135149349473,10,0.010822510822510822,0.02877622955363367,0.0010343165330902165
Mrs. MacPhail,0.7409289680739893,2,0.010822510822510822,0.028776229553633657,0.0010343165330902165
Saunders Broadfoot,0.4744209903474525,1,0.0021645021645021645,0.014273435049762181,0.00043810568204909965
Ane miller,0.6864778740686861,1,0.004329004329004329,0.015721131599936482,0.0006778677668470413
Captain Salathiel Bangtext.--Obadiah Muggleton,0.7635536234196382,1,0.008658008658008658,0.024832589746277858,0.0009748564903473857
Sin - Despise Double,0.7727617779439073,1,0.008658008658008658,0.024832589746277865,0.0009748564903473857
old Noll,0.7851788179549624,1,0.008658008658008658,0.024832589746277847,0.0009748564903473857
Craigmillar,0.5424812135254693,1,0.010822510822510822,0.03184604238494915,0.0009845947460893206
"Master Butler.--Sir,--It",0.6265713745441323,1,0.010822510822510822,0.031846042384949154,0.0009845947460893206
"David--""Reuben Butler",0.34832391451708516,1,0.0021645021645021645,0.014273435049762181,0.00043810568204909965
Widow Butler,0.36202678177502284,1,0.004329004329004329,0.0196585943653116,0.0005601449566710042
Pharaoh.--And,0.6083006639862513,1,0.006493506493506494,0.02512188150334897,0.000779901470814987
wicked Doeg the Edomite,0.6285872897462708,1,0.006493506493506494,0.02512188150334897,0.000779901470814987
Eneugh,0.38711308347852663,1,0.004329004329004329,0.02402200652354294,0.0005589736299348185
Black,0.7227030879647658,6,0.023809523809523808,0.048238806955756774,0.002205291115904274
Blair,0.7650395519991894,1,0.012987012987012988,0.030675323734392863,0.001193377534733709
Bruce,0.7657494550753641,1,0.012987012987012988,0.03067532373439287,0.001193377534733709
