novel,graph_type,n_nodes,n_embedded,radius_mentions_rho,radius_degree_rho,radius_eigenvector_rho,radius_pagerank_rho,mean_radius,std_radius
Old_Mortality,cooccurrence,656,656,-0.35106298588574997,0.22443946863127973,-0.6643723533268749,0.35136103916551065,0.7614768898285255,0.23180219515283376
Oliver_Twist,cooccurrence,153,153,-0.24811204215775584,-0.3178072265034881,-0.6893478876243336,-0.18887658485225906,0.6997371218944792,0.2448954086448419
Our_Mutual_Friend,cooccurrence,526,526,-0.17750528218209086,0.1030439971349212,-0.2974048839455016,0.1933064125993318,0.784921987973117,0.17298403276941945
Paul_Clifford,cooccurrence,484,484,-0.1096693377626292,0.19253277172390432,-0.420152019870083,0.3288262033187091,0.7012846318090211,0.2378633486017671
Pendennis,cooccurrence,1464,1464,-0.144447823778431,0.06738735387105836,-0.5045149978677517,0.25918116328172963,0.6802850997859794,0.23297832884334754
Persuasion,cooccurrence,126,126,-0.5972111450427573,-0.6642814764186376,-0.8159941207137633,-0.4596947770302044,0.7146522491477301,0.2890297019394434
Phoebe_Junior,cooccurrence,207,207,-0.4828042432427241,-0.5328973689772313,-0.7642971834321037,-0.36202096392633676,0.6745454461707514,0.23227187155072304
Pride_and_Prejudice,cooccurrence,172,172,-0.7454923652610271,-0.6643328267994599,-0.8549143310130998,-0.4463751999631092,0.6788571988673883,0.2728112095121455
Romola,cooccurrence,466,466,-0.1985990045723019,-0.13379862582995392,-0.5031405726285684,0.09232132131199809,0.6504407624291522,0.22869390467842596
Rookwood,cooccurrence,453,453,-0.20975711142970357,0.24273985409893456,-0.35820348239438377,0.4444208565190844,0.734619405192532,0.24099282373580733
Ruth,cooccurrence,199,199,-0.3446695960480445,-0.3562567850141667,-0.6147573878753805,-0.21450092908543392,0.7001387968879128,0.23478214318513918
Sense_and_Sensibility,cooccurrence,133,133,-0.7327785960992568,-0.7513878687271515,-0.8428408925546832,-0.6469661034042714,0.6941464715534266,0.26639546933021035
Shirley,cooccurrence,420,420,-0.24501798833285182,0.04252216075236254,-0.43175794876304446,0.2109291011043735,0.653973087079477,0.23894078876543506
Sybil,cooccurrence,471,471,-0.10722649288383605,-0.025590674522248256,-0.651788157910605,0.2167102746919415,0.7561353766174554,0.23330929016869156
Tess_of_the_d'Urbervilles,cooccurrence,228,228,-0.16790803517735003,0.3343857763897841,-0.3619814597696691,0.4194271375411331,0.5849662200557914,0.29567718725745273
The_Heart_of_Midlothian1,cooccurrence,350,350,-0.12185202514222114,0.07533120779353136,-0.37422973069794524,0.24075493676791593,0.7469690543446612,0.22276772002136214
The_Heart_of_Midlothian2,cooccurrence,463,463,-0.01708147683307714,0.09985446668723207,-0.6729415409704326,0.33159208880246027,0.7197419912272105,0.26140236971013114
The_Heir_of_Redclyffe,cooccurrence,363,363,-0.48241856460707794,-0.4940006419452958,-0.7278512401441556,-0.28599422221296217,0.6717359655383601,0.22121911359326726
The_Invisible_Man,cooccurrence,73,73,-0.2538070041142263,-0.35187025148217654,-0.6624794085537866,-0.21090484415011077,0.6374314778242046,0.21962031768880858
The_Life_and_Adventures_of_Michael_Armstrong,cooccurrence,260,260,-0.30429351982300473,-0.29143187137679377,-0.596811072703417,-0.10250112689705453,0.6825226725417478,0.1991941352165288
The_Light_that_Failed,cooccurrence,139,139,-0.31095797099185446,-0.3819905482396766,-0.7642483377833916,-0.19098902728684408,0.603092347138908,0.2796450382526329
The_Mayor_of_Casterbridge,cooccurrence,146,146,-0.1035317847937514,0.03590833551913481,-0.5336897470853859,0.20433452616251033,0.565100788277666,0.28619964635018463
The_Mill_on_the_Floss,cooccurrence,354,354,-0.30463384932816673,-0.12986096609095688,-0.5098752131997616,-0.007534779735091424,0.6566639621783759,0.2139172002890388
The_Mysteries_of_London,cooccurrence,522,522,0.03853194138191955,0.0852712380191778,-0.596920521825212,0.22460722949230663,0.7657509246236816,0.23944916859234391
The_Odd_Women,cooccurrence,140,140,-0.33414931232498535,-0.4218969644146367,-0.6639730699904937,-0.19309373608482808,0.7387063301803594,0.22104321966092805
The_Picture_of_Dorian_Gray,cooccurrence,231,231,-0.10182382859875752,0.5131644177165565,-0.1471817303744327,0.4854099171852519,0.6428004320848164,0.3097487724813814
The_Pirate,cooccurrence,577,577,-0.05310222923801687,0.13969846621438112,-0.383229288670556,0.3340674095549687,0.7056417156485975,0.2365578921069932
The_Return_of_the_Native,cooccurrence,168,168,-0.4234258689625074,-0.23854937016143707,-0.6295957107602329,-0.036514064265533545,0.7085615709650902,0.2643830546935633
The_Small_House_at_Allington,cooccurrence,358,358,-0.188566751348567,-0.19887078415820172,-0.5355309339053835,0.01923859043568608,0.7010238129981063,0.19754234285870909
Trilby,cooccurrence,425,425,-0.1621330912068738,0.13258808773415562,-0.4595492327031454,0.3224659974132258,0.7483480817124305,0.2466036078000824
Vanity_Fair_1847,cooccurrence,1322,1322,-0.1172786205890741,0.035856626438414536,-0.483385714326297,0.2481801283947544,0.7478744122517564,0.20630191946354284
Vivian_Grey,cooccurrence,682,682,-0.003431180069640741,0.265230706423745,-0.09362746543654968,0.33017531923130033,0.7170274737899496,0.2772391384958686
Waverley,cooccurrence,784,784,-0.0905734702704691,0.07580400061194088,-0.6390248624741909,0.3226604108160389,0.709967322535783,0.2786659127626659
Westward_Ho!,cooccurrence,861,861,-0.142091770255862,0.09868714177201644,-0.2996990335854765,0.23071380197157115,0.6769348345944332,0.24476883484392467
