character,radius,mentions,degree_centrality,eigenvector,pagerank
Saul,0.9005092542685105,1,0.020689655172413793,0.03922845419630297,0.0026253321636716728
Wide - oh,0.2872062244808829,3,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Dr. Chalkfield,0.8028034670830695,1,0.013793103448275862,0.03614668254087559,0.002246163116097127
Shallow and Silence,0.8258927982311453,2,0.013793103448275862,0.03614668254087558,0.002246163116097127
Stubberd,0.7451550979508205,29,0.027586206896551724,0.05493857220005469,0.0041691291132405
Gurth,0.5677265136891818,1,0.013793103448275862,0.047187017012631095,0.0015346619319611815
Mr. Grower,0.7137518440350469,45,0.05517241379310345,0.10246602884611335,0.007019610410830721
the Apostle Paul,0.5519165402445358,1,0.013793103448275862,0.047187017012631095,0.0015346619319611815
Man Number One,0.35863985674433496,1,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Thither,0.37762672904719696,1,0.013793103448275862,0.04541973468837622,0.001547548908072626
d’ye,0.4673268785198998,2,0.013793103448275862,0.044889838459995675,0.001866263973106725
Chancing,0.17388620340859667,1,0.013793103448275862,0.060151247273731834,0.0015463352970485626
Wiltshire,0.3442485273442494,1,0.006896551724137931,0.03367236878657923,0.0012915738165580155
David,0.922107797794927,8,0.020689655172413793,0.03691266117274873,0.00309416521621628
Rosalind,0.3316271632195046,1,0.027586206896551724,0.07907901447614517,0.002135782442904126
Lawyer Joyce,0.08955060075140889,2,0.013793103448275862,0.060151247273731834,0.0015463352970485626
Charles I,0.28731921344268924,1,0.020689655172413793,0.07366589549978375,0.0017894234124517286
Tamerlane,0.19645374042816122,1,0.013793103448275862,0.060151247273731834,0.0015463352970485626
Aphrodite,0.19258504603806817,1,0.013793103448275862,0.060151247273731834,0.0015463352970485626
Mayors,0.81156617348732,1,0.013793103448275862,0.03614668254087559,0.002246163116097127
Vice,0.817930792579036,1,0.013793103448275862,0.036146682540875566,0.002246163116097127
Dr. Bath,0.8985060174014982,2,0.020689655172413793,0.038951148119914666,0.003029713532932655
Calphurnia,0.10029311784088034,1,0.013793103448275862,0.060151247273731834,0.0015463352970485626
Prince of Darkness,0.1460476648902361,3,0.013793103448275862,0.060151247273731834,0.0015463352970485626
Death,0.17798641327465042,1,0.013793103448275862,0.060151247273731834,0.0015463352970485626
Peter,0.2972535566050684,9,0.08275862068965517,0.1528252750106925,0.005867822933756929
Father!—I,0.2780535123726399,6,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Juno,0.11735154567661832,1,0.020689655172413793,0.06849848206159287,0.0017860376326980477
Izzy,0.2779115702902565,1,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Cain,0.3171747116344056,1,0.006896551724137931,0.03367236878657923,0.0012915738165580155
the Gods,0.19474736407106724,1,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Farfraed Farfrae,0.44931040665960925,1,0.013793103448275862,0.042019603574440206,0.0015312761522075008
Mr.,0.17972641426087715,2,0.013793103448275862,0.060151247273731834,0.0018010967775391093
Elizabeth - Jane,0.4492435731776828,3,0.006896551724137931,0.03367236878657923,0.0018199269291261013
Kitty,0.8358731800306051,1,0.006896551724137931,0.013514648226051864,0.0012704853756771387
the Scriptures,0.7722470017554621,1,0.013793103448275862,0.03999352671320451,0.0015252468561676859
John Gilpin,0.9201245566698221,3,0.020689655172413793,0.040181805806953914,0.0031593443212787607
Rigid,0.8561323079249569,1,0.006896551724137931,0.013514648226051864,0.0012704853756771387
Mrs. Blowbody,0.8284786057663082,1,0.006896551724137931,0.013514648226051864,0.0012704853756771387
Mrs. Bath,0.8022483973274258,3,0.013793103448275862,0.03999352671320451,0.0015252468561676859
Pharaoh,0.7776403120900952,1,0.013793103448275862,0.03999352671320451,0.0015252468561676859
Apollo,0.9314807969024249,1,0.013793103448275862,0.028424600026803186,0.002229805430945595
Diana,0.9336369331790636,1,0.013793103448275862,0.02842460002680317,0.002229805430945595
Miss Newson”—and Donald,0.8186141875315918,1,0.013793103448275862,0.031201955609346854,0.0015794310680852638
Benjamin Brownlet,0.9667911291129863,1,0.027586206896551724,0.03332169042502318,0.0035387573218329427
Kitson,0.9657364962521338,1,0.027586206896551724,0.033321690425023164,0.0035387573218329427
Mr. Bulge,0.965505789442116,2,0.027586206896551724,0.03332169042502319,0.0035387573218329427
Yopper,0.9634973426327885,1,0.027586206896551724,0.033321690425023184,0.0035387573218329427
Miss Henchet,0.812150325271188,5,0.006896551724137931,0.026478878487152642,0.0012821587407645196
Alderman Vatt,0.8237381392247966,1,0.006896551724137931,0.026478878487152642,0.0012821587407645196
Doctor Chalkfield,0.9301499863530689,5,0.013793103448275862,0.028424600026803158,0.0026728272821746136
Mr. Vatt,0.9165031410092448,5,0.013793103448275862,0.028424600026803165,0.0026728272821746136
Lucifer,0.8227302760020901,1,0.006896551724137931,0.026478878487152642,0.0012821587407645196
